source,target,weight
E_2_0,0_1903_1,16.658889770507812
E_5958_1,0_1903_1,8.01915454864502
E_2_0,0_2455_1,14.90190315246582
E_2_0,0_6959_1,3.9413492679595947
E_5958_1,0_6959_1,30.289453506469727
E_2_0,0_7344_1,12.454000473022461
E_5958_1,0_7344_1,5.126058101654053
E_2_0,0_8008_1,5.619929313659668
E_5958_1,0_8008_1,3.5270588397979736
E_2_0,0_10178_1,1.2521318197250366
E_5958_1,0_10178_1,8.63677978515625
E_2_0,0_10317_1,21.263444900512695
E_5958_1,0_10317_1,-6.080397605895996
E_24176_2,0_1178_2,11.511043548583984
E_24176_2,0_4805_2,14.013875961303711
E_2_0,0_6794_2,2.0155906677246094
E_24176_2,0_6794_2,15.844752311706543
E_24176_2,0_7000_2,12.778834342956543
E_24176_2,0_9189_2,24.480064392089844
E_24176_2,0_9813_2,14.678326606750488
E_24176_2,0_10422_2,16.31805992126465
E_24176_2,0_10425_2,13.206324577331543
E_5958_1,0_12083_2,1.4661738872528076
E_24176_2,0_12083_2,13.191526412963867
E_24176_2,0_12572_2,19.06826400756836
E_24176_2,0_14983_2,18.860702514648438
E_3407_3,0_377_3,13.609711647033691
E_3407_3,0_973_3,11.270298957824707
E_3407_3,0_1117_3,19.18189239501953
E_5958_1,0_2202_3,1.8367626667022705
E_24176_2,0_2202_3,2.667957305908203
E_3407_3,0_2202_3,11.014697074890137
E_3407_3,0_2799_3,14.773141860961914
E_3407_3,0_2983_3,13.652880668640137
E_3407_3,0_4337_3,15.184771537780762
E_3407_3,0_5963_3,24.80202865600586
E_3407_3,0_7731_3,13.687134742736816
E_3407_3,0_8697_3,10.26382064819336
E_3407_3,0_9063_3,13.591659545898438
E_3407_3,0_9868_3,12.74558162689209
E_5958_1,0_11427_3,2.1551859378814697
E_24176_2,0_11427_3,3.040417194366455
E_3407_3,0_11427_3,11.661697387695312
E_5958_1,0_11813_3,1.879379391670227
E_24176_2,0_11813_3,2.2597837448120117
E_3407_3,0_11813_3,9.78980541229248
E_3407_3,0_12141_3,9.901529312133789
E_5958_1,0_13208_3,2.0862877368927
E_24176_2,0_13208_3,3.029566764831543
E_3407_3,0_13208_3,5.654043197631836
E_3407_3,0_14315_3,14.788963317871094
E_5958_1,0_14356_3,2.570509433746338
E_24176_2,0_14356_3,2.570420503616333
